,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,post1950,Семантическая когорта
3,агатовый,прилагательное,1,0,1,0,0,0,1,0,0.8773177549335566,цвет
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,0.5044577090867951,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,9.359883797947383,цвет
10,амбре,существительное,1,0,0,0,0,1,0,0,0.2083629667967197,запах
11,аметистовый,прилагательное,1,0,1,0,0,0,0,0,0.14256413517670294,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,16.01653226350574,вкусный
17,аппетитный,прилагательное,0,0,1,1,0,0,0,0,2.7854838719140425,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,22.07550800851562,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,5.351638305094696,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,0.5757397766751466,размер 
29,асимметричность,существительное,1,0,1,0,0,0,0,0,0.24674561857506278,форма
30,асимметричный,прилагательное,1,0,1,0,0,0,0,0,2.5387382533389795,форма
31,асимметрия,существительное,1,0,1,0,0,0,0,0,2.4839058936556326,форма
35,аспидный,прилагательное,1,0,1,0,0,0,0,0,0.2851282703534059,цвет
40,атласный,прилагательное,1,1,0,0,0,0,0,0,2.708718568357356,осязание
48,аховый,прилагательное,1,0,1,0,0,0,1,0,0.6305721363584939,размер 
49,ахроматический,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
53,багрово-красный,прилагательное,1,0,1,0,0,0,0,0,0.20287973082838495,цвет
54,багрово-синий,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
55,багровый,прилагательное,1,0,1,0,0,0,0,0,8.833493144987248,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,1.7765684537404522,цвет
59,бархатистость,существительное,0,1,1,1,1,1,0,0,0.12063119130336405,осязание
60,бархатистый,прилагательное,0,1,1,1,1,1,0,0,1.4201581157986949,осязание
61,бас,существительное,1,0,0,0,1,0,0,0,11.14193548765617,музыка
63,беж,существительное,1,0,1,0,0,0,0,0,0.18643002292338076,цвет
65,бежевый,прилагательное,1,0,1,0,0,0,0,0,3.3557404126208543,цвет
69,безвкусный,прилагательное,0,0,1,1,0,0,1,0,2.7471012201356992,вкусный
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,4.342722886921106,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,3.2515589292224942,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,6.618265813780018,цвет
85,белесо-голубой,прилагательное,1,0,1,0,0,0,0,0,0.027416179841673643,цвет
86,белесый,прилагательное,1,0,1,0,0,0,0,0,7.446234444998562,цвет
87,бело-голубой,прилагательное,1,0,1,0,0,0,0,0,1.069231013825272,цвет
88,бело-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
89,бело-красный,прилагательное,1,0,1,0,0,0,0,0,0.21932943873338914,цвет
90,бело-розовый,прилагательное,1,0,1,0,0,0,0,0,1.1076136656036153,цвет
96,белоснежный,прилагательное,1,0,1,0,0,0,0,0,10.582645418886026,цвет
98,белый,прилагательное,1,0,1,0,0,0,0,0,317.57257757804246,цвет
99,белый-белый,прилагательное,1,0,1,0,0,0,0,0,0.8115189233135398,цвет
100,белый-пребелый,прилагательное,1,0,1,0,0,0,0,0,0.027416179841673643,цвет
103,беспроглядный,прилагательное,1,0,1,0,0,0,1,0,0.027416179841673643,свет
106,бессолнечный,прилагательное,1,0,1,0,0,0,1,0,0.2741617984167365,свет
110,бесцветный,прилагательное,1,0,1,0,0,0,0,0,7.731362715351969,цвет
115,бит,существительное,1,0,0,0,1,0,1,0,0.5044577090867951,музыка
118,благовоние,существительное,1,0,0,0,0,1,0,0,2.346824994447264,запах
119,благовонный,прилагательное,1,0,0,0,0,1,0,0,0.70733743991518,запах
120,благозвучие,существительное,1,0,0,0,1,0,0,0,0.2960947422900754,музыка
127,благоухание,существительное,1,0,0,0,0,1,0,0,1.4256413517670294,запах
129,благоуханный,прилагательное,1,0,0,0,0,1,0,0,1.1788957331919667,запах
130,благоухать,глагол,1,0,0,0,0,1,0,0,3.991795784947683,запах
135,блакитный,прилагательное,1,0,1,0,0,0,0,0,0.06031559565168203,цвет
138,бледно-голубой,прилагательное,1,0,1,0,0,0,0,0,1.0472980699519334,цвет
