,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,pre1950,Семантическая когорта
3,агатовый,прилагательное,1,0,1,0,0,0,1,0,0.4595317154586302,цвет
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,0.7832926968044832,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,9.754605050871831,цвет
10,амбре,существительное,1,0,0,0,0,1,0,0,0.05221951312029889,запах
11,аметистовый,прилагательное,1,0,1,0,0,0,0,0,0.32376098134585307,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,15.906063696443042,вкусный
17,аппетитный,прилагательное,0,0,1,1,0,0,0,0,1.075721970278157,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,17.107112498209915,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,4.375995199481046,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,1.3054878280074722,размер 
30,асимметричный,прилагательное,1,0,1,0,0,0,0,0,0.375980494466152,форма
31,асимметрия,существительное,1,0,1,0,0,0,0,0,0.34464878659397263,форма
35,аспидный,прилагательное,1,0,1,0,0,0,0,0,0.7310731836841844,цвет
40,атласный,прилагательное,1,1,0,0,0,0,0,0,5.6188196117441604,осязание
48,аховый,прилагательное,1,0,1,0,0,0,1,0,0.7101853784360649,размер 
49,ахроматический,прилагательное,1,0,1,0,0,0,0,0,0.093995123616538,цвет
53,багрово-красный,прилагательное,1,0,1,0,0,0,0,0,0.5221951312029889,цвет
54,багрово-синий,прилагательное,1,0,1,0,0,0,0,0,0.08355122099247822,цвет
55,багровый,прилагательное,1,0,1,0,0,0,0,0,15.93739540431522,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,2.569200045518705,цвет
59,бархатистость,существительное,0,1,1,1,1,1,0,0,0.06266341574435866,осязание
60,бархатистый,прилагательное,0,1,1,1,1,1,0,0,1.1070536781503364,осязание
61,бас,существительное,1,0,0,0,1,0,0,0,24.459619945548,музыка
63,беж,существительное,1,0,1,0,0,0,0,0,0.14621463673683688,цвет
65,бежевый,прилагательное,1,0,1,0,0,0,0,0,0.24020976035337488,цвет
69,безвкусный,прилагательное,0,0,1,1,0,0,1,0,3.707585431541221,вкусный
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,5.514380585503562,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,6.537883042661421,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,7.822483065420773,цвет
86,белесый,прилагательное,1,0,1,0,0,0,0,0,5.5457122933757415,цвет
87,бело-голубой,прилагательное,1,0,1,0,0,0,0,0,0.20887805248119556,цвет
89,бело-красный,прилагательное,1,0,1,0,0,0,0,0,0.17754634460901622,цвет
90,бело-розовый,прилагательное,1,0,1,0,0,0,0,0,0.7728487941804235,цвет
96,белоснежный,прилагательное,1,0,1,0,0,0,0,0,8.094024533646326,цвет
98,белый,прилагательное,1,0,1,0,0,0,0,0,407.4479730724441,цвет
99,белый-белый,прилагательное,1,0,1,0,0,0,0,0,0.5117512285789291,цвет
106,бессолнечный,прилагательное,1,0,1,0,0,0,1,0,0.29242927347367376,свет
110,бесцветный,прилагательное,1,0,1,0,0,0,0,0,8.490892833360599,цвет
115,бит,существительное,1,0,0,0,1,0,1,0,0.10443902624059778,музыка
118,благовоние,существительное,1,0,0,0,0,1,0,0,1.3368195358796515,запах
119,благовонный,прилагательное,1,0,0,0,0,1,0,0,1.4203707568721298,запах
120,благозвучие,существительное,1,0,0,0,1,0,0,0,0.3133170787217933,музыка
127,благоухание,существительное,1,0,0,0,0,1,0,0,3.843356165653998,запах
