,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
3,агатовый,прилагательное,1,0,1,0,0,0,1,0,0.4379397445871709,цвет
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,1.3403610364637657,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,5.666674876930969,цвет
10,амбре,существительное,1,0,0,0,0,1,0,0,0.18579261891576948,запах
11,аметистовый,прилагательное,1,0,1,0,0,0,0,0,0.11943811216013753,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,18.765054510492718,вкусный
17,аппетитный,прилагательное,0,0,1,1,0,0,0,0,1.1147557134946169,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,10.311490349825206,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,3.0655782121101964,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,1.0616721080901113,размер 
31,асимметрия,существительное,1,0,1,0,0,0,0,0,0.1592508162135167,форма
35,аспидный,прилагательное,1,0,1,0,0,0,0,0,0.9289630945788474,цвет
40,атласный,прилагательное,1,1,0,0,0,0,0,0,7.259183039066136,осязание
48,аховый,прилагательное,1,0,1,0,0,0,1,0,0.7829831797164571,размер 
49,ахроматический,прилагательное,1,0,1,0,0,0,0,0,0.1327090135112639,цвет
53,багрово-красный,прилагательное,1,0,1,0,0,0,0,0,0.18579261891576948,цвет
55,багровый,прилагательное,1,0,1,0,0,0,0,0,10.231864941718449,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,1.61904996483742,цвет
60,бархатистый,прилагательное,0,1,1,1,1,1,0,0,0.4777524486405501,осязание
61,бас,существительное,1,0,0,0,1,0,0,0,12.95239971869936,музыка
69,безвкусный,прилагательное,0,0,1,1,0,0,1,0,1.4730700499750293,вкусный
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,3.6096851675063784,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,4.419210149925088,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,7.484788362035284,цвет
86,белесый,прилагательное,1,0,1,0,0,0,0,0,0.18579261891576948,цвет
90,бело-розовый,прилагательное,1,0,1,0,0,0,0,0,0.23887622432027505,цвет
96,белоснежный,прилагательное,1,0,1,0,0,0,0,0,3.9149158985822856,цвет
98,белый,прилагательное,1,0,1,0,0,0,0,0,239.9113546256629,цвет
99,белый-белый,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,цвет
106,бессолнечный,прилагательное,1,0,1,0,0,0,1,0,0.07962540810675835,свет
110,бесцветный,прилагательное,1,0,1,0,0,0,0,0,10.192052237665068,цвет
115,бит,существительное,1,0,0,0,1,0,1,0,0.18579261891576948,музыка
118,благовоние,существительное,1,0,0,0,0,1,0,0,1.76502987969981,запах
119,благовонный,прилагательное,1,0,0,0,0,1,0,0,2.985952804003438,запах
120,благозвучие,существительное,1,0,0,0,1,0,0,0,0.35831433648041255,музыка
127,благоухание,существительное,1,0,0,0,0,1,0,0,5.759571186388855,запах
129,благоуханный,прилагательное,1,0,0,0,0,1,0,0,2.0171770053712117,запах
130,благоухать,глагол,1,0,0,0,0,1,0,0,4.286501136413825,запах
138,бледно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.8891503905254683,цвет
141,бледно-розовый,прилагательное,1,0,1,0,0,0,0,0,0.80952498241871,цвет
142,бледно-синий,прилагательное,1,0,1,0,0,0,0,0,0.1725217175646431,цвет
154,блеск,существительное,1,0,1,0,0,0,0,0,53.32248162882584,яркость
155,блестеть,глагол,1,0,1,0,0,0,0,0,25.851715831994213,яркость
158,блестящий,прилагательное,1,0,1,0,0,0,0,0,85.63712641881861,яркость
159,блик,существительное,1,0,1,0,0,0,0,0,0.5308360540450556,яркость
172,большой,прилагательное,1,0,1,0,0,0,0,0,1107.2841960339329,размер 
173,большой-большой,прилагательное,1,0,1,0,0,0,0,0,0.10616721080901113,размер 
174,большой-пребольшой,прилагательное,1,0,1,0,0,0,0,0,0.09289630945788474,размер 
175,большущий,прилагательное,1,0,1,0,0,0,0,0,2.8665146918433004,размер 
195,бурдон,существительное,1,0,0,0,1,0,0,0,0.22560532296914865,музыка
198,буро-красный,прилагательное,1,0,1,0,0,0,0,0,0.1592508162135167,цвет
202,бурый,прилагательное,1,0,1,0,0,0,0,0,8.108520725538225,цвет
205,васильковый,прилагательное,1,0,1,0,0,0,1,0,0.4379397445871709,цвет
209,великанский,прилагательное,1,0,1,0,0,0,0,0,0.1725217175646431,размер 
227,веять,глагол,1,0,0,0,0,1,1,0,16.389563168641093,запах
256,вкус,существительное,1,0,0,1,0,0,1,0,91.27725949304731,вкусный
258,вкусить,глагол,1,0,0,1,0,0,0,0,6.409845352594047,вкусный
261,вкусно,наречие,1,0,0,1,0,0,0,0,4.167063024253687,вкусный
265,вкусный,прилагательное,1,0,0,1,0,0,0,0,18.31384386455442,вкусный
269,вкусовой,прилагательное,1,0,0,1,0,0,0,0,0.5971905608006876,вкусный
270,вкушение,существительное,1,0,0,1,0,0,0,0,0.6370032648540668,вкусный
271,влага,существительное,1,1,0,0,0,0,0,0,8.466835062018639,осязание
272,влажность,существительное,1,1,0,0,0,0,0,0,2.6939929742786575,атмосфера
273,влажный,прилагательное,1,1,0,0,0,0,0,0,11.386433359266444,атмосфера
279,возглас,существительное,1,0,0,0,1,0,0,0,17.968800429425134,голос
286,вонища,существительное,1,0,0,0,0,1,0,0,0.07962540810675835,вонь
288,вонь,существительное,1,0,0,0,0,1,0,0,4.843878993161133,вонь
291,вонючий,прилагательное,1,0,0,0,0,1,0,0,6.423116253945174,вонь
292,вонючка,существительное,1,0,0,0,0,1,0,0,0.06635450675563195,вонь
306,востренький,прилагательное,1,1,0,0,0,0,0,0,0.41139794188491813,осязание
307,вострый,прилагательное,1,1,0,0,0,0,0,0,5.507424060717453,осязание
313,вскрик,существительное,1,0,0,0,1,0,0,0,0.35831433648041255,голос
314,вскрикивать,глагол,1,0,0,0,1,0,0,0,6.807972393127839,голос
316,вскрикнуть,глагол,1,0,0,0,1,0,0,0,43.66126544520583,голос
319,всплеск,существительное,1,0,0,0,1,0,0,0,1.9640933999667058,звучать
321,втора,существительное,1,0,0,0,1,0,0,0,2.8797855931944274,музыка
333,выкрик,существительное,1,0,0,0,1,0,0,0,1.1014848121434906,голос
334,выкрикивать,глагол,1,0,0,0,1,0,0,0,5.4012568499084415,голос
337,выкрикнуть,глагол,1,0,0,0,1,0,0,0,1.526153655379535,голос
343,вымокнуть,глагол,1,1,0,0,0,0,0,0,0.7033577716096988,атмосфера
346,выпукло,наречие,0,1,1,0,0,0,0,0,0.5175651526939292,форма
347,выпуклость,существительное,0,1,1,0,0,0,0,0,1.7915716824020629,форма
348,выпуклый,прилагательное,0,1,1,0,0,0,0,0,5.865738397197865,форма
358,высокий,прилагательное,0,0,1,0,1,0,0,0,525.7532988275742,размер
362,высоченный,прилагательное,0,0,1,0,1,0,0,0,0.07962540810675835,размер
368,вытянутый,прилагательное,1,0,1,0,0,0,0,0,5.759571186388855,размер
370,вяжущий,причастие,0,1,0,1,0,0,0,0,0.5042942513428029,вкусный
371,вязкий,прилагательное,0,1,0,1,0,0,0,0,1.4465282472727767,вещество
372,вязко,наречие,0,1,0,1,0,0,0,0,0.1592508162135167,вещество
373,вязкость,существительное,0,1,0,1,0,0,0,0,0.29195982972478063,вещество
385,гам,существительное,1,0,0,0,1,0,0,0,7.232641236363884,звучать
386,гамма,существительное,1,0,0,0,1,0,0,0,2.003906104020085,музыка
388,гвалт,существительное,1,0,0,0,1,0,0,0,3.875103194528907,звучать
397,гигантский,прилагательное,1,0,1,0,0,0,0,0,10.311490349825206,размер 
401,гладенький,прилагательное,1,1,1,0,0,0,0,0,0.6370032648540668,осязание
402,гладкий,прилагательное,1,1,1,0,0,0,1,0,22.149134355029947,осязание
403,гладко,наречие,1,1,1,0,0,0,1,0,9.435610860650865,осязание
409,глас,существительное,1,0,0,0,1,0,0,0,13.231088647073012,звучать
425,глубина,существительное,0,0,1,1,1,0,0,0,99.58484373885244,размер
429,глубоко,наречие,0,0,1,1,1,0,0,0,83.11565516210459,размер
430,глубоко-глубоко,наречие,0,0,1,1,1,0,0,0,0.42466884323604454,размер
455,гнедой,прилагательное,1,0,1,0,0,0,0,0,2.8797855931944274,цвет
456,гнилостный,прилагательное,1,0,0,0,0,1,0,0,0.7033577716096988,вонь
461,голос,существительное,1,0,0,0,1,0,0,0,518.6533666047217,голос
462,голубенький,прилагательное,1,0,1,0,0,0,0,0,0.7166286729608251,цвет
463,голубовато-серый,прилагательное,1,0,1,0,0,0,0,0,0.1327090135112639,цвет
465,голубоватый,прилагательное,1,0,1,0,0,0,0,0,1.9242806959133267,цвет
466,голубой,прилагательное,1,0,1,0,0,0,0,0,51.7963279734463,цвет
468,гомон,существительное,1,0,0,0,1,0,0,0,0.7829831797164571,звучать
470,горечь,существительное,1,0,0,1,0,0,1,0,17.10619184160192,вкусный
477,горький,прилагательное,0,0,0,1,0,1,1,0,67.77449320020249,вкусный
480,горько,наречие,0,0,0,1,0,1,1,0,38.140570483137246,вкусный
484,горьковатый,прилагательное,0,0,0,1,0,1,0,0,0.3981270405337917,вкусный
486,горьконький,прилагательное,1,0,0,1,0,0,1,0,0.11943811216013753,вкусный
494,горяченький,прилагательное,1,1,0,0,0,0,0,0,1.0749430094412378,температура
495,горячий,прилагательное,1,1,0,0,0,0,1,0,83.60667851209627,температура
496,горячо,наречие,1,1,0,0,0,0,1,0,47.52309773838361,температура
497,гранатовый,прилагательное,1,0,1,0,0,0,1,0,0.80952498241871,цвет
504,громадный,прилагательное,1,0,1,0,0,0,0,0,95.61684423486565,размер 
509,громыхание,существительное,1,0,0,0,1,0,0,0,0.2654180270225278,звучать
510,громыхать,глагол,1,0,0,0,1,0,0,0,1.2209229243036281,звучать
512,грохотать,глагол,1,0,0,0,1,0,0,0,1.9906352026689587,звучать
520,грязно-белый,прилагательное,1,0,1,0,0,0,0,0,0.1327090135112639,цвет
523,грязно-серый,прилагательное,1,0,1,0,0,0,0,0,0.1592508162135167,цвет
526,гул,существительное,1,0,0,0,1,0,0,0,14.690887795696916,звучать
527,гулкий,прилагательное,1,0,0,0,1,0,0,0,1.6057790634862934,звучать
528,гулко,наречие,1,0,0,0,1,0,0,0,1.8844679918599476,звучать
531,гунявый,прилагательное,1,0,0,0,0,1,0,0,0.1592508162135167,вонь
536,густо-синий,прилагательное,1,0,1,0,0,0,0,0,0.07962540810675835,цвет
556,десертный,прилагательное,0,0,0,1,0,1,1,0,0.2786889283736542,вкусный
561,диссонанс,существительное,1,0,0,0,1,0,1,0,2.176427821584728,музыка
566,длинненький,прилагательное,0,0,1,0,1,0,0,0,0.10616721080901113,размер
567,длинно,наречие,0,0,1,0,1,0,0,0,3.23809992967484,размер
571,длинноватый,прилагательное,0,0,1,0,1,0,0,0,0.35831433648041255,размер
573,длинный,прилагательное,0,0,1,0,1,0,0,0,200.35079769795513,размер
574,длинный-длинный,прилагательное,0,0,1,0,1,0,0,0,0.6502741662051933,размер
575,длинный-предлинный,прилагательное,0,0,1,0,1,0,0,0,0.5706487580984348,размер
589,доноситься,глагол,1,0,0,0,1,0,1,0,14.916493118666065,звучать
604,духан,существительное,1,0,0,0,0,1,0,0,0.4379397445871709,вонь
609,духовитый,прилагательное,1,0,0,0,0,1,0,0,0.10616721080901113,запах
610,духота,существительное,1,1,0,0,0,0,0,0,7.219370335012757,атмосфера
611,душисто,наречие,1,0,0,0,0,1,0,0,0.10616721080901113,запах
613,душистый,прилагательное,1,0,0,0,0,1,0,0,11.2139116417018,запах
614,душок,существительное,1,0,0,0,0,1,0,0,0.7298995743119516,вонь
615,дымчато-серый,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
