,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
3,агатовый,прилагательное,1,0,1,0,0,0,1,0,3.0,33.0,44.0,160.0,цвет
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,16.0,101.0,75.0,92.0,цвет
8,ало-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,2.0,1.0,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,40.0,427.0,934.0,1707.0,цвет
10,амбре,существительное,1,0,0,0,0,1,0,0,1.0,14.0,5.0,38.0,запах
11,аметистовый,прилагательное,1,0,1,0,0,0,0,0,0.0,9.0,31.0,26.0,цвет
12,антрацитный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,4.0,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,17.0,1414.0,1523.0,2921.0,вкусный
17,аппетитный,прилагательное,0,0,1,1,0,0,0,0,0.0,84.0,103.0,508.0,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,49.0,777.0,1638.0,4026.0,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,11.0,231.0,419.0,976.0,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,9.0,80.0,125.0,105.0,размер 
29,асимметричность,существительное,1,0,1,0,0,0,0,0,0.0,4.0,2.0,45.0,форма
30,асимметричный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,36.0,463.0,форма
31,асимметрия,существительное,1,0,1,0,0,0,0,0,0.0,12.0,33.0,453.0,форма
33,аспидно-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,2.0,4.0,цвет
35,аспидный,прилагательное,1,0,1,0,0,0,0,0,3.0,70.0,70.0,52.0,цвет
40,атласный,прилагательное,1,1,0,0,0,0,0,0,11.0,547.0,538.0,494.0,осязание
48,аховый,прилагательное,1,0,1,0,0,0,1,0,0.0,59.0,68.0,115.0,размер 
49,ахроматический,прилагательное,1,0,1,0,0,0,0,0,0.0,10.0,9.0,10.0,цвет
52,ахроматичный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,цвет
53,багрово-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,14.0,50.0,37.0,цвет
54,багрово-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,4.0,8.0,10.0,цвет
55,багровый,прилагательное,1,0,1,0,0,0,0,0,14.0,771.0,1526.0,1611.0,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,19.0,122.0,246.0,324.0,цвет
59,бархатистость,существительное,0,1,1,1,1,1,0,0,0.0,0.0,6.0,22.0,осязание
60,бархатистый,прилагательное,0,1,1,1,1,1,0,0,0.0,36.0,106.0,259.0,осязание
61,бас,существительное,1,0,0,0,1,0,0,0,10.0,976.0,2342.0,2032.0,музыка
63,беж,существительное,1,0,1,0,0,0,0,0,0.0,0.0,14.0,34.0,цвет
64,бежеватый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,3.0,цвет
65,бежевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,23.0,612.0,цвет
69,безвкусный,прилагательное,0,0,1,1,0,0,1,0,1.0,111.0,355.0,501.0,вкусный
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,86.0,272.0,528.0,792.0,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,167.0,333.0,626.0,593.0,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,9.0,564.0,749.0,1207.0,цвет
85,белесо-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,5.0,цвет
86,белесый,прилагательное,1,0,1,0,0,0,0,0,0.0,14.0,531.0,1358.0,цвет
87,бело-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,20.0,195.0,цвет
88,бело-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,2.0,10.0,цвет
89,бело-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,17.0,40.0,цвет
90,бело-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,18.0,74.0,202.0,цвет
