,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
3,агатовый,прилагательное,1,0,1,0,0,0,1,0,0.4883639952667762,0.4379397445871709,0.4595317154586302,0.8773177549335566,цвет
7,алебастровый,прилагательное,1,0,1,0,0,0,1,0,2.6046079747561395,1.3403610364637657,0.7832926968044832,0.5044577090867951,цвет
8,ало-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.020887805248119555,0.005483235968334729,цвет
9,алый,прилагательное,1,0,1,0,0,0,0,0,6.511519936890349,5.666674876930969,9.754605050871831,9.359883797947383,цвет
10,амбре,существительное,1,0,0,0,0,1,0,0,0.16278799842225872,0.18579261891576948,0.05221951312029889,0.2083629667967197,запах
11,аметистовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.11943811216013753,0.32376098134585307,0.14256413517670294,цвет
12,антрацитный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.010443902624059778,0.021932943873338915,цвет
15,аппетит,существительное,1,0,0,1,0,0,0,0,2.7673959731783984,18.765054510492718,15.906063696443042,16.01653226350574,вкусный
17,аппетитный,прилагательное,0,0,1,1,0,0,0,0,0.0,1.1147557134946169,1.075721970278157,2.7854838719140425,вкусный
19,аромат,существительное,0,0,0,1,0,1,0,0,7.976611922690677,10.311490349825206,17.107112498209915,22.07550800851562,запах
25,ароматный,прилагательное,0,0,0,1,0,1,0,0,1.790667982644846,3.0655782121101964,4.375995199481046,5.351638305094696,запах
27,аршинный,прилагательное,1,0,1,0,0,0,1,0,1.4650919858003284,1.0616721080901113,1.3054878280074722,0.5757397766751466,размер 
29,асимметричность,существительное,1,0,1,0,0,0,0,0,0.0,0.05308360540450557,0.020887805248119555,0.24674561857506278,форма
30,асимметричный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.026541802702252783,0.375980494466152,2.5387382533389795,форма
31,асимметрия,существительное,1,0,1,0,0,0,0,0,0.0,0.1592508162135167,0.34464878659397263,2.4839058936556326,форма
33,аспидно-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.020887805248119555,0.021932943873338915,цвет
35,аспидный,прилагательное,1,0,1,0,0,0,0,0,0.4883639952667762,0.9289630945788474,0.7310731836841844,0.2851282703534059,цвет
40,атласный,прилагательное,1,1,0,0,0,0,0,0,1.790667982644846,7.259183039066136,5.6188196117441604,2.708718568357356,осязание
48,аховый,прилагательное,1,0,1,0,0,0,1,0,0.0,0.7829831797164571,0.7101853784360649,0.6305721363584939,размер 
49,ахроматический,прилагательное,1,0,1,0,0,0,0,0,0.0,0.1327090135112639,0.093995123616538,0.054832359683347286,цвет
52,ахроматичный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.005483235968334729,цвет
53,багрово-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.18579261891576948,0.5221951312029889,0.20287973082838495,цвет
54,багрово-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.05308360540450557,0.08355122099247822,0.054832359683347286,цвет
55,багровый,прилагательное,1,0,1,0,0,0,0,0,2.279031977911622,10.231864941718449,15.93739540431522,8.833493144987248,цвет
56,багряный,прилагательное,1,0,1,0,0,0,0,0,3.0929719700229157,1.61904996483742,2.569200045518705,1.7765684537404522,цвет
59,бархатистость,существительное,0,1,1,1,1,1,0,0,0.0,0.0,0.06266341574435866,0.12063119130336405,осязание
60,бархатистый,прилагательное,0,1,1,1,1,1,0,0,0.0,0.4777524486405501,1.1070536781503364,1.4201581157986949,осязание
61,бас,существительное,1,0,0,0,1,0,0,0,1.6278799842225873,12.95239971869936,24.459619945548,11.14193548765617,музыка
63,беж,существительное,1,0,1,0,0,0,0,0,0.0,0.0,0.14621463673683688,0.18643002292338076,цвет
64,бежеватый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.016449707905004187,цвет
65,бежевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.24020976035337488,3.3557404126208543,цвет
69,безвкусный,прилагательное,0,0,1,1,0,0,1,0,0.16278799842225872,1.4730700499750293,3.707585431541221,2.7471012201356992,вкусный
74,безмерно,наречие,1,0,1,0,0,0,0,глубокий,13.999767864314249,3.6096851675063784,5.514380585503562,4.342722886921106,размер 
76,безмерный,прилагательное,1,0,1,0,0,0,0,глубокий,27.185595736517207,4.419210149925088,6.537883042661421,3.2515589292224942,размер 
84,беленький,прилагательное,1,0,1,0,0,0,0,0,1.4650919858003284,7.484788362035284,7.822483065420773,6.618265813780018,цвет
85,белесо-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.027416179841673643,цвет
86,белесый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.18579261891576948,5.5457122933757415,7.446234444998562,цвет
87,бело-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.20887805248119556,1.069231013825272,цвет
88,бело-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.020887805248119555,0.054832359683347286,цвет
89,бело-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.026541802702252783,0.17754634460901622,0.21932943873338914,цвет
90,бело-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.23887622432027505,0.7728487941804235,1.1076136656036153,цвет
91,беловато-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.010443902624059778,0.016449707905004187,цвет
92,беловато-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.05308360540450557,0.020887805248119555,0.010966471936669457,цвет
96,белоснежный,прилагательное,1,0,1,0,0,0,0,0,0.16278799842225872,3.9149158985822856,8.094024533646326,10.582645418886026,цвет
98,белый,прилагательное,1,0,1,0,0,0,0,0,235.22865772016385,239.9113546256629,407.4479730724441,317.57257757804246,цвет
99,белый-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.09289630945788474,0.5117512285789291,0.8115189233135398,цвет
100,белый-пребелый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.03981270405337917,0.0,0.027416179841673643,цвет
103,беспроглядный,прилагательное,1,0,1,0,0,0,1,0,0.0,0.0,0.04177561049623911,0.027416179841673643,свет
106,бессолнечный,прилагательное,1,0,1,0,0,0,1,0,0.16278799842225872,0.07962540810675835,0.29242927347367376,0.2741617984167365,свет
110,бесцветный,прилагательное,1,0,1,0,0,0,0,0,0.32557599684451743,10.192052237665068,8.490892833360599,7.731362715351969,цвет
115,бит,существительное,1,0,0,0,1,0,1,0,0.32557599684451743,0.18579261891576948,0.10443902624059778,0.5044577090867951,музыка
118,благовоние,существительное,1,0,0,0,0,1,0,0,6.837095933734866,1.76502987969981,1.3368195358796515,2.346824994447264,запах
119,благовонный,прилагательное,1,0,0,0,0,1,0,0,16.929951835914906,2.985952804003438,1.4203707568721298,0.70733743991518,запах
120,благозвучие,существительное,1,0,0,0,1,0,0,0,0.0,0.35831433648041255,0.3133170787217933,0.2960947422900754,музыка
127,благоухание,существительное,1,0,0,0,0,1,0,0,14.813707856425545,5.759571186388855,3.843356165653998,1.4256413517670294,запах
129,благоуханный,прилагательное,1,0,0,0,0,1,0,0,6.34873193846809,2.0171770053712117,2.3812097982856293,1.1788957331919667,запах
130,благоухать,глагол,1,0,0,0,0,1,0,0,2.4418199763338806,4.286501136413825,5.6188196117441604,3.991795784947683,запах
131,благоухающий,прилагательное,1,0,0,0,0,1,0,0,0.16278799842225872,0.0,0.0,0.016449707905004187,запах
135,блакитный,прилагательное,1,0,1,0,0,0,0,0,0.32557599684451743,0.026541802702252783,0.06266341574435866,0.06031559565168203,цвет
136,бланжевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.03981270405337917,0.03133170787217933,0.0,цвет
137,бледно-бежевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.010966471936669457,цвет
138,бледно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.8891503905254683,1.6710244198495645,1.0472980699519334,цвет
140,бледно-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.05308360540450557,0.06266341574435866,0.054832359683347286,цвет
141,бледно-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.80952498241871,1.4725902699924285,1.0198818901102598,цвет
142,бледно-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.1725217175646431,0.39686829971427157,0.21932943873338914,цвет
147,блекло-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.03133170787217933,0.09321501146169038,цвет
149,блекло-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.010443902624059778,0.010966471936669457,цвет
150,блекло-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.010443902624059778,0.005483235968334729,цвет
151,блекло-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.020887805248119555,0.032899415810008374,цвет
153,блеклый,прилагательное,1,0,1,0,0,0,0,0,0.16278799842225872,0.0,0.0,0.0,цвет
154,блеск,существительное,1,0,1,0,0,0,0,0,26.371655744405913,53.32248162882584,52.115074094058286,31.495707402114686,яркость
155,блестеть,глагол,1,0,1,0,0,0,0,0,2.279031977911622,25.851715831994213,47.75996669982536,22.048091828673943,яркость
156,блестяще-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.010443902624059778,0.010966471936669457,цвет
158,блестящий,прилагательное,1,0,1,0,0,0,0,0,29.30183971600657,85.63712641881861,87.82277716571866,47.764468520163824,яркость
159,блик,существительное,1,0,1,0,0,0,0,0,0.16278799842225872,0.5308360540450556,4.114897633879552,5.691598935131449,яркость
171,большенный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.05308360540450557,0.020887805248119555,0.021932943873338915,размер 
172,большой,прилагательное,1,0,1,0,0,0,0,0,1016.1226861517389,1107.2841960339329,1308.2867939107202,1301.5831379834563,размер 
173,большой-большой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.10616721080901113,0.24020976035337488,0.2851282703534059,размер 
174,большой-пребольшой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.09289630945788474,0.11488292886465755,0.14256413517670294,размер 
175,большущий,прилагательное,1,0,1,0,0,0,0,0,0.0,2.8665146918433004,2.5900878507668246,2.4126238260672808,размер 
177,бордовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.013270901351126392,0.375980494466152,2.8841821193440675,цвет
183,броский,прилагательное,1,0,1,0,0,0,0,0,0.16278799842225872,0.0,0.32376098134585307,2.43455676994062,яркость
184,броско,наречие,1,0,1,0,0,0,0,0,0.0,0.0,0.05221951312029889,0.5318738889284687,яркость
185,броскость,существительное,1,0,1,0,0,0,0,0,0.0,0.0,0.03133170787217933,0.18643002292338076,яркость
189,бруснично-красный,прилагательное,1,0,1,0,0,0,1,0,0.0,0.0,0.010443902624059778,0.0,цвет
192,бунчать,глагол,1,0,0,0,1,0,0,0,0.0,0.026541802702252783,0.010443902624059778,0.005483235968334729,голос
194,бунчить,глагол,1,0,0,0,1,0,0,0,0.0,0.0,0.05221951312029889,0.0,голос
195,бурдон,существительное,1,0,0,0,1,0,0,0,0.0,0.22560532296914865,0.093995123616538,0.14256413517670294,музыка
198,буро-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.1592508162135167,0.3655365918420922,0.17546355098671132,цвет
199,буро-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.15665853936089666,0.054832359683347286,цвет
201,буровато-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.03133170787217933,0.010966471936669457,цвет
202,бурый,прилагательное,1,0,1,0,0,0,0,0,1.9534559810671048,8.108520725538225,12.553570954119852,10.862290453271099,цвет
205,васильковый,прилагательное,1,0,1,0,0,0,1,0,1.790667982644846,0.4379397445871709,1.033946359781918,1.2008286770653056,цвет
208,велий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.005483235968334729,размер 
209,великанский,прилагательное,1,0,1,0,0,0,0,0,0.0,0.1725217175646431,0.14621463673683688,0.4551085853717825,размер 
212,великоватый,прилагательное,1,0,1,0,0,0,0,0,0.6511519936890349,0.0,0.20887805248119556,1.2501778007803181,размер 
218,вердепомовый,прилагательное,1,0,1,0,0,0,1,0,0.0,0.03981270405337917,0.0,0.0,цвет
227,веять,глагол,1,0,0,0,0,1,1,0,12.046311883247144,16.389563168641093,17.096668595585854,7.649114175826948,запах
256,вкус,существительное,1,0,0,1,0,0,1,0,123.88166679933889,91.27725949304731,62.63208403648649,80.37327282385047,вкусный
258,вкусить,глагол,1,0,0,1,0,0,0,0,13.674191867469732,6.409845352594047,3.853800068278058,3.3721901205258584,вкусный
260,вкусненький,прилагательное,1,0,0,1,0,0,0,0,0.0,0.0,0.14621463673683688,1.135029845445289,вкусный
261,вкусно,наречие,1,0,0,1,0,0,0,0,1.790667982644846,4.167063024253687,7.091409881736588,10.69231013825272,вкусный
262,вкуснота,существительное,1,0,0,1,0,0,0,0,0.0,0.0,0.03133170787217933,0.23577914663839333,вкусный
263,вкуснотень,существительное,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.021932943873338915,вкусный
